id,index,difficulty,equation1,equation2,answer
hard2_0046,46,hard,(x * y) * z = (w * z) * u,x * (x * x) = y * (z * w),False
hard2_0047,47,hard,x * y = (y * (x * z)) * y,x * x = ((x * x) * y) * x,False
hard2_0048,48,hard,(x * y) * z = (w * y) * u,x * (x * y) = z * (x * x),False
hard2_0049,49,hard,x = y * (((z * w) * x) * y),x = x * (y * ((x * x) * x)),True
hard2_0050,50,hard,x = y * ((z * x) * z),x = ((y * (z * z)) * w) * x,True
hard2_0051,51,hard,x = (y * ((y * x) * x)) * y,x * (x * y) = z * (z * y),False
hard2_0052,52,hard,x = y * ((x * (x * y)) * y),x = x * (y * (z * (w * y))),False
hard2_0053,53,hard,x = y * (x * (z * (x * z))),x = ((y * y) * x) * (y * y),True
hard2_0054,54,hard,(x * y) * z = (y * w) * u,x * (y * y) = (z * y) * z,False
hard2_0055,55,hard,x * (y * x) = (z * w) * u,x * (x * y) = y * (z * x),False
hard2_0056,56,hard,x = y * ((y * (y * x)) * x),x = ((y * z) * z) * (w * x),False
hard2_0057,57,hard,x = y * ((z * (w * w)) * x),x = ((y * z) * y) * (y * x),True
hard2_0058,58,hard,x = (y * z) * ((w * x) * y),x = (y * (z * (y * y))) * x,True
hard2_0059,59,hard,x = (y * x) * (z * (x * w)),x = y * ((x * (x * x)) * y),True
hard2_0060,60,hard,x = x * (y * ((x * z) * y)),x = x * ((y * (z * w)) * w),True
hard2_0061,61,hard,x = y * (((x * x) * z) * z),x = y * (y * ((y * z) * w)),True
hard2_0062,62,hard,x * x = ((y * z) * w) * u,x * y = ((z * w) * u) * v,False
hard2_0063,63,hard,x = y * (z * (x * z)),x = y * (x * ((y * y) * y)),True
hard2_0064,64,hard,x = (y * z) * (z * (x * y)),x = y * (z * (y * (z * x))),False
hard2_0065,65,hard,x * y = z * (y * (x * x)),x * y = (x * (y * y)) * y,True
hard2_0066,66,hard,x = (y * x) * ((z * w) * w),x = (x * ((y * y) * y)) * x,True
hard2_0067,67,hard,x = ((y * x) * z) * (z * y),x = (y * (y * y)) * (x * y),False
hard2_0068,68,hard,x * (x * y) = (z * w) * u,x * (y * z) = y * (x * z),False
hard2_0069,69,hard,x = y * (((y * x) * y) * z),x = x * ((x * (x * x)) * y),True
hard2_0070,70,hard,x * y = y * (y * (z * x)),x * y = (x * (z * z)) * z,True
hard2_0071,71,hard,x * x = ((y * z) * w) * u,x * y = z * (y * (w * x)),False
hard2_0072,72,hard,x = ((y * (x * x)) * z) * w,x = y * ((z * (w * x)) * y),True
hard2_0073,73,hard,x = ((y * (x * z)) * x) * y,x = x * (((y * y) * x) * x),True
hard2_0074,74,hard,x = (y * z) * (w * (x * x)),x = y * (z * ((z * z) * x)),True
hard2_0075,75,hard,x = ((y * (z * z)) * x) * w,x = (y * (y * (z * x))) * z,True
hard2_0076,76,hard,(x * y) * x = (z * w) * u,x * (x * y) = (z * w) * z,False
hard2_0077,77,hard,x = (y * ((y * x) * x)) * y,x = (((x * y) * x) * x) * x,False
hard2_0078,78,hard,x * y = y * ((x * y) * z),x * x = ((y * x) * z) * z,True
hard2_0079,79,hard,x = (y * (x * (y * z))) * y,x = y * (x * ((y * y) * y)),True
hard2_0080,80,hard,x = ((y * z) * (y * x)) * y,x = x * (y * ((x * y) * x)),True
hard2_0081,81,hard,x = (y * (x * (x * z))) * w,x = x * (y * ((x * y) * y)),True
hard2_0082,82,hard,x * y = y * ((z * w) * x),x * y = (z * x) * (w * y),True
hard2_0083,83,hard,x = ((y * z) * y) * (x * x),x * y = z * (w * (x * y)),True
hard2_0084,84,hard,x * (y * z) = (z * y) * y,x * (y * z) = (y * z) * w,False
hard2_0085,85,hard,x = ((y * z) * (x * w)) * u,x = (((y * x) * x) * y) * x,True
hard2_0086,86,hard,x = (y * ((z * z) * x)) * w,x = y * (((y * x) * y) * y),True
hard2_0087,87,hard,x * (x * y) = (z * y) * w,x * (x * y) = y * (z * z),False
hard2_0088,88,hard,x = (x * (x * y)) * y,x * (y * z) = x * (z * y),False
hard2_0089,89,hard,x = y * (((x * x) * z) * w),x = (y * (z * (w * u))) * x,True
hard2_0090,90,hard,x * y = (y * (x * z)) * y,x * y = ((x * y) * x) * y,False
hard2_0091,91,hard,x = y * (((x * z) * x) * w),x = ((y * (y * y)) * x) * z,True
hard2_0092,92,hard,x * (y * z) = (w * u) * u,x * (y * z) = (y * w) * u,False
hard2_0093,93,hard,x = (y * y) * (x * (y * x)),x * y = (x * (x * x)) * y,False
hard2_0094,94,hard,x = y * ((x * (x * x)) * z),x = ((x * y) * z) * (w * y),True
hard2_0095,95,hard,x = y * ((z * (z * y)) * x),x * y = (y * (y * x)) * y,False
hard2_0096,96,hard,x = y * ((z * y) * (y * x)),x * y = ((z * x) * x) * y,False
hard2_0097,97,hard,x = (x * (x * (y * y))) * z,x * x = ((x * y) * z) * w,True
hard2_0098,98,hard,x = (y * (x * (y * z))) * y,x = y * ((y * (x * x)) * x),True
hard2_0099,99,hard,x = y * (x * ((z * y) * y)),x = ((y * z) * (z * z)) * x,True
hard2_0100,100,hard,x = (x * ((x * y) * y)) * y,x * y = ((x * y) * y) * x,False
hard2_0101,101,hard,x = y * ((y * x) * z),x = x * (x * (y * y)),True
hard2_0102,102,hard,x = (y * ((y * x) * x)) * y,x = ((y * (z * x)) * w) * x,False
hard2_0103,103,hard,x * y = y * ((z * x) * w),x * x = (x * (x * y)) * z,True
hard2_0104,104,hard,x = (y * ((y * x) * x)) * y,x * y = (y * (y * z)) * y,False
hard2_0105,105,hard,x = y * ((y * (y * x)) * x),x * (x * y) = y * (x * y),False
hard2_0106,106,hard,x = (((y * y) * y) * x) * z,x = ((y * (z * w)) * u) * v,True
hard2_0107,107,hard,x = (y * (y * z)) * (x * x),x = x * ((y * (x * y)) * x),True
hard2_0108,108,hard,x * x = ((y * z) * w) * u,x * (y * z) = (w * u) * z,False
hard2_0109,109,hard,x = (y * x) * (x * (y * z)),x * (y * y) = (x * y) * x,False
hard2_0110,110,hard,x = y * (((z * x) * x) * x),x = x * ((x * (x * y)) * x),True
hard2_0111,111,hard,x = (y * ((y * x) * z)) * w,x * x = (x * (y * y)) * x,True
hard2_0112,112,hard,x = (((x * y) * y) * x) * y,x * x = x * ((y * z) * x),False
hard2_0113,113,hard,x = (y * (x * (z * z))) * z,x = x * ((x * (y * x)) * z),True
hard2_0114,114,hard,x = (y * (x * x)) * z,x = y * ((z * (z * y)) * w),True
hard2_0115,115,hard,x = ((y * (z * x)) * x) * w,x = x * ((y * (y * x)) * x),True
hard2_0116,116,hard,x = y * ((x * (z * z)) * z),x = x * (((x * y) * z) * w),True
hard2_0117,117,hard,x * y = y * (y * (x * z)),x * y = (z * (w * u)) * v,True
hard2_0118,118,hard,x = (x * ((x * y) * y)) * y,x = (x * y) * (x * (y * z)),False
hard2_0119,119,hard,x = y * (x * (y * (y * z))),x = ((x * x) * y) * x,True
hard2_0120,120,hard,x = ((y * (x * x)) * x) * z,x = x * (((y * y) * y) * x),True
hard2_0121,121,hard,x = y * (z * ((y * x) * y)),x = x * (((y * y) * x) * z),True
hard2_0122,122,hard,x = y * ((y * (y * x)) * x),x = y * (((z * x) * x) * x),False
hard2_0123,123,hard,x = y * (((z * y) * x) * z),x * (y * z) = x * (z * y),False
hard2_0124,124,hard,x = ((x * x) * y) * (y * z),x * x = x * (x * (y * z)),False
hard2_0125,125,hard,x = ((x * (y * z)) * z) * x,x = ((x * x) * (y * y)) * x,False
hard2_0126,126,hard,x = ((y * (z * x)) * w) * x,x * x = y * (x * x),True
hard2_0127,127,hard,x = y * (((x * x) * x) * z),x = x * ((y * z) * (y * z)),True
hard2_0128,128,hard,x = ((y * (y * x)) * z) * y,x = x * ((y * (z * z)) * y),True
hard2_0129,129,hard,x = y * (z * ((z * y) * x)),x = y * (x * ((y * x) * x)),False
hard2_0130,130,hard,x = (y * (x * (z * w))) * y,x = (((y * z) * x) * y) * x,True
hard2_0131,131,hard,x = ((y * (z * z)) * x) * w,x = y * ((z * (x * y)) * z),True
hard2_0132,132,hard,x = y * ((z * (x * x)) * w),x * y = z * ((x * w) * y),True
hard2_0133,133,hard,x = y * ((x * z) * (z * y)),x = y * ((z * x) * (y * z)),False
hard2_0134,134,hard,x = (y * (y * x)) * (y * x),x * y = ((z * y) * w) * y,False
hard2_0135,135,hard,(x * y) * z = (y * w) * u,x * (y * x) = z * (y * x),False
hard2_0136,136,hard,x = ((y * (x * x)) * y) * z,x = y * (x * (z * (z * y))),True
hard2_0137,137,hard,x = ((y * x) * z) * (x * z),x = y * (z * (x * (w * w))),True
hard2_0138,138,hard,x = y * ((y * (y * z)) * x),x = y * (x * (z * (x * x))),True
hard2_0139,139,hard,x = (x * y) * ((z * w) * x),x * y = ((x * z) * x) * y,False
hard2_0140,140,hard,x = x * (y * (z * (w * z))),x = (x * ((x * y) * y)) * x,True
hard2_0141,141,hard,x = ((y * (z * x)) * z) * z,x = ((y * z) * (y * y)) * x,True
hard2_0142,142,hard,x = ((y * x) * x) * y,x * (x * y) = z * (z * y),False
hard2_0143,143,hard,(x * x) * y = (z * w) * u,x * (x * y) = z * (x * z),False
hard2_0144,144,hard,x * x = ((y * z) * w) * u,x * y = (y * z) * (y * x),False
hard2_0145,145,hard,x = (y * ((y * x) * z)) * w,x = (y * ((y * y) * x)) * y,True
hard2_0146,146,hard,x * x = y * (z * (w * u)),x * (x * y) = y * (y * x),False
hard2_0147,147,hard,x = ((y * (x * x)) * z) * z,x = y * (((y * x) * x) * x),True
hard2_0148,148,hard,(x * y) * z = (z * w) * u,x * (y * z) = (y * z) * z,False
hard2_0149,149,hard,x = (y * (x * (z * w))) * w,x = (((y * y) * z) * x) * x,True
hard2_0150,150,hard,x = (y * ((y * x) * x)) * y,x * y = z * (w * (x * z)),False
hard2_0151,151,hard,x = (y * ((y * x) * x)) * y,x = (x * ((y * z) * w)) * y,False
hard2_0152,152,hard,(x * y) * x = (z * w) * u,x * (x * x) = (y * z) * w,False
hard2_0153,153,hard,x = y * (x * ((y * z) * z)),x = y * ((y * (y * y)) * x),True
hard2_0154,154,hard,x = ((y * (z * y)) * x) * w,x = x * (((y * y) * x) * z),True
hard2_0155,155,hard,x * y = ((z * y) * x) * x,x * x = (y * (x * x)) * z,True
hard2_0156,156,hard,x = (((x * y) * x) * y) * y,x = (((x * y) * y) * y) * z,False
hard2_0157,157,hard,x = (x * ((x * y) * y)) * y,x * y = ((x * z) * x) * w,False
hard2_0158,158,hard,x * x = (y * (z * w)) * u,x * y = ((z * y) * x) * w,False
hard2_0159,159,hard,x = (y * ((x * x) * z)) * y,x = (((y * x) * z) * y) * y,True
hard2_0160,160,hard,x = y * ((x * y) * (z * z)),x = (y * ((x * x) * x)) * y,True
hard2_0161,161,hard,(x * y) * x = (z * w) * u,x * (x * x) = x * (y * x),False
hard2_0162,162,hard,x = (y * (x * (x * z))) * y,x = (((x * y) * z) * y) * x,True
hard2_0163,163,hard,x = (x * (y * z)) * (w * x),(x * y) * z = (x * w) * z,False
hard2_0164,164,hard,x = y * ((z * x) * (z * z)),x = ((y * (z * y)) * y) * x,True
hard2_0165,165,hard,x = ((y * x) * z) * (z * y),x = y * (x * ((z * y) * z)),False
hard2_0166,166,hard,x * x = ((y * z) * w) * u,x * y = ((x * z) * w) * x,False
hard2_0167,167,hard,x = (x * ((y * x) * y)) * y,x * y = x * ((y * x) * z),False
hard2_0168,168,hard,x * y = y * (z * (y * x)),x * (y * y) = (y * z) * x,True
hard2_0169,169,hard,x = (y * (y * (x * y))) * y,x = (x * ((x * x) * x)) * x,False
hard2_0170,170,hard,x * y = (y * (x * z)) * w,x * x = (y * (z * y)) * z,True
hard2_0171,171,hard,x = y * ((x * (x * y)) * y),x * y = (x * (z * z)) * w,False
hard2_0172,172,hard,x = y * ((x * (x * y)) * y),x = ((y * y) * z) * (z * x),False
hard2_0173,173,hard,x = y * ((x * (x * y)) * y),x * y = y * (z * (x * z)),False
hard2_0174,174,hard,x = ((y * (x * x)) * z) * z,x = ((y * (y * z)) * w) * x,True
hard2_0175,175,hard,x = ((y * z) * (z * x)) * y,x = ((x * (x * y)) * x) * y,False
hard2_0176,176,hard,x = ((x * (y * y)) * z) * x,x = ((x * (y * z)) * w) * x,False
hard2_0177,177,hard,x = (y * ((y * x) * x)) * y,x = (y * (x * (z * y))) * x,False
hard2_0178,178,hard,x = x * ((y * z) * (x * y)),x = x * ((y * y) * (z * y)),True
hard2_0179,179,hard,x = (y * x) * (x * (z * y)),(x * y) * x = (y * x) * x,False
hard2_0180,180,hard,x * x = (y * (z * w)) * u,x * (y * z) = (z * x) * y,False
hard2_0181,181,hard,x = x * (y * ((y * z) * y)),x = ((x * (x * y)) * z) * x,False
hard2_0182,182,hard,x = y * ((x * (x * y)) * y),x * y = z * (y * (z * w)),False
hard2_0183,183,hard,(x * y) * z = (x * w) * u,x * (x * y) = x * (x * z),False
hard2_0184,184,hard,x = (((y * z) * y) * w) * x,x = (x * ((y * y) * y)) * x,True
hard2_0185,185,hard,x = y * (z * ((x * x) * z)),x = y * (((y * x) * x) * x),True
hard2_0186,186,hard,x = y * (x * ((x * x) * z)),x = y * (y * (x * (x * z))),True
hard2_0187,187,hard,x = (y * z) * (z * x),x = y * ((y * (z * y)) * x),False
hard2_0188,188,hard,(x * y) * z = (z * w) * x,(x * x) * y = (z * w) * y,False
hard2_0189,189,hard,x = (y * (y * (x * x))) * z,x * (y * x) = z * (x * w),True
hard2_0190,190,hard,x * x = ((y * z) * w) * u,x * y = (z * w) * (y * y),False
hard2_0191,191,hard,x = (x * y) * ((x * y) * y),x = (x * (x * y)) * z,False
hard2_0192,192,hard,x = x * (y * ((y * z) * y)),x * (x * y) = x * (z * x),False
hard2_0193,193,hard,x = ((y * z) * y) * (w * x),x * (y * x) = y * (x * x),True
hard2_0194,194,hard,x = (y * ((y * x) * x)) * y,x = (y * (x * (y * x))) * y,False
hard2_0195,195,hard,x * (x * y) = (z * y) * w,x * (y * x) = (z * z) * x,False
hard2_0196,196,hard,x = (y * ((y * x) * x)) * y,x = x * ((y * y) * (z * y)),False
hard2_0197,197,hard,x * x = y * (z * (y * w)),x * x = y * (z * (x * z)),False
hard2_0198,198,hard,x * y = z * (y * (x * x)),x * y = (z * w) * (z * x),True
hard2_0199,199,hard,x = ((x * y) * (x * z)) * w,x = ((x * (x * x)) * x) * y,True
hard2_0200,200,hard,x * y = y * (z * (x * w)),x * y = (y * (z * w)) * u,True
