id,index,difficulty,equation1,equation2,answer
hard1_0035,35,hard,x = x * ((y * z) * (w * u)),x = (x * (x * (y * x))) * x,True
hard1_0036,36,hard,x * x = y * (z * (x * z)),x * x = x * (y * (z * x)),False
hard1_0037,37,hard,x = y * (((y * z) * y) * x),x = x * (x * (y * (y * x))),False
hard1_0038,38,hard,x * y = (x * (x * y)) * z,x * y = x * (z * (y * y)),False
hard1_0039,39,hard,x = x * ((x * y) * (z * z)),x = x * (((x * y) * x) * y),False
hard1_0040,40,hard,x = x * ((y * (z * w)) * w),x * y = (x * (z * w)) * u,True
hard1_0041,41,hard,x = (((y * x) * y) * z) * x,x * y = z * (w * (z * y)),True
hard1_0042,42,hard,x = (y * x) * (x * z),x = x * (y * (x * (y * z))),False
hard1_0043,43,hard,x * x = y * (x * (z * w)),x * x = y * ((x * x) * z),False
hard1_0044,44,hard,x = (y * (y * z)) * x,x = (((x * y) * x) * x) * x,True
hard1_0045,45,hard,x = (y * x) * (x * (x * z)),x = (x * (y * z)) * (w * w),False
hard1_0046,46,hard,x * y = y * ((x * y) * z),x * x = y * (y * (y * y)),True
hard1_0047,47,hard,x = (y * x) * (x * (z * z)),x = y * ((y * x) * (z * y)),False
hard1_0048,48,hard,x = (y * (z * y)) * x,x = (((y * z) * y) * y) * x,False
hard1_0049,49,hard,x * (y * z) = (z * x) * y,x * (y * z) = (w * u) * y,False
hard1_0050,50,hard,x = x * (((y * z) * w) * u),x = ((x * x) * (x * y)) * y,True
hard1_0051,51,hard,x * y = ((x * z) * w) * y,x * y = ((z * w) * x) * y,False
hard1_0052,52,hard,x = (y * x) * (y * x),x = ((x * y) * x) * (z * x),True
hard1_0053,53,hard,x * y = (x * z) * (y * w),x * y = (x * y) * (z * x),False
hard1_0054,54,hard,x * y = ((z * w) * x) * u,x * (y * y) = (x * x) * x,True
hard1_0055,55,hard,x = y * (((z * w) * x) * x),x = y * (((z * x) * w) * w),False
hard1_0056,56,hard,x = (y * (y * z)) * (w * x),x = y * (z * (w * (u * x))),True
hard1_0057,57,hard,x = y * ((z * y) * (y * x)),x = y * (x * ((z * w) * x)),False
hard1_0058,58,hard,x * (y * z) = (w * w) * z,x * (y * x) = (x * z) * x,False
hard1_0059,59,hard,x = ((y * z) * z) * x,x = x * ((y * (y * x)) * x),True
hard1_0060,60,hard,x = (((y * z) * x) * z) * x,x = y * (((x * y) * y) * x),True
hard1_0061,61,hard,x = x * (y * (z * (x * y))),x = x * (((y * x) * z) * w),True
hard1_0062,62,hard,x = ((y * x) * z) * (z * y),x = (y * (y * (x * x))) * x,False
hard1_0063,63,hard,x = ((y * z) * w) * x,x = y * ((z * (w * u)) * x),True
hard1_0064,64,hard,x = x * ((y * z) * (z * z)),x = (x * ((y * y) * x)) * x,True
hard1_0065,65,hard,x = x * (y * (z * y)),x = (x * (x * (x * y))) * x,True
hard1_0066,66,hard,x = ((y * z) * y) * (x * z),x = (((y * x) * y) * y) * y,False
hard1_0067,67,hard,x = (y * (y * x)) * (z * x),x * y = z * (y * (w * y)),True
hard1_0068,68,hard,x * x = y * ((x * z) * y),x * (y * x) = x * (z * x),False
hard1_0069,69,hard,x = ((y * y) * z) * x,x = y * (y * (z * (w * x))),True
